Chet Baker,Andy Fields,
"Andy Fields! Quit skateboarding in front of my house, or I'll call your parents!",,
"Ah haha, I'm kidding.",,
Not on the lawn though. Don't want to hurt the grass,,
,My parents left Mr Baker.,"Good joke Mr. B, not like I haven't heard it a hundred times."
"Please Andy, call me Chet today.",,
,Oh... why?,Okay... Chet.
See my Kristy,,
"My stupid, no good, loves to spend her money and time at Orange Theory, wife, left me.",,
,Yikes...,"Oh, uh, sorry?"
"Yep, she ran away with Mr. Russo from down the block.",,
The bitch.,,
So now I'm no longer Mr. Baker,,
I'm just Chet,,
,I don't think that's how that works.,"Okay, whatever you say... Chet."
She's going to be sorry tomorrow when she realizes what she's done.,,
,Tomorrow?,"Uh, Chet? I don't know if you heard, but there are nukes that are about to hit us."
Oh Andy,,
You don't actually believe that crap do you?,,
That story's just a hoax orchestrated by Mamdani and the liberal media.,,
,Isn't New York destroyed?,I think he died in the explosion.
That's exactly what he wants you to think.,,
"The actual important piece of news is to never get married, Andy.",,
"Marriage, it sucks the marrow from your bones!",,
,Sure...,"Um, totally"
Biggest mistake I ever made was slipping on this gold band and saying 'I do'.,,
,It's funny you should mention that.,Wait a second.
,"Can I... have your wedding ring. Now that you don't, uh, need it.",I actually do need a wedding ring.
AFTER WHAT I JUST SAID!,,
Why? What do you need it for?,,
,"You know Angie and Miranda, they're getting married down at the skate park in a little bit.",An end of the world wedding. Miranda and Angie are getting married.
Oh...,,
I thought those girls were just good friends.,,
,They're lesbians Chet.,Um... well in a way they are.
It's none of my concern.,,
"Sure, you can have it I guess.",,
But what are you going to offer me?,,
,[highest value item] and a sick skate trick,
Let's see this trick of yours Andy.,,
