Patty Torres,Annabelle McNeil,Andy Fields,
Cake,,,
,Cookies,,
Lemonade,,,
,,Hi Patty. Hi Annabelle,"Well, look at these young businesswomen."
Andy!!,,,
,Hello Miss Fields,,
,,What are you two doing?,What is this?
We're selling cookies!,,,
,And cake!,,
And Lemonade!,,,
,"It's our cookies, cake, and lemonade stand.",,
,,Very creative. How's it going so far?,Interesting. Gotten lots of customers?
...,,,
,...,,
You're our first customer so far.,,,
"But I'm sure, I'm sure, a bajillion customers will be here any minute.",,,
,It's really... quiet.,,
People will come,,,
They have to,,,
,,Do you two know what's happening?,"Patty, Annabelle, have either of your parents told you anything about what's going on?"
...,,,
,...,,
"Um. Last night I woke up because my mom was crying really, really loudly, and then she and my dad started yelling at each other.",,,
"When I went out to ask what was happening, she calmed down a little bit, and I went back to bed. ",,,
But then this morning I didn't see my mom and my dad was really...,,,
He looked sort of...,,,
I don't know...,,,
"He told me I could have anything I wanted for breakfast, so we made churro waffles like when we go to my abuelita's.",,,
"And then Anna came over, and the bake sale was her idea.",,,
"And so my dad gave us lots of cookies and some cake and lemonade and made us both sandwhiches, which we ate a little bit ago",,,
And some of the cookies,,,
"But not all them, there are still lots for sale.",,,
,I know what's happening,,
,,Oh god...,"Annabelle, Patty, I'm-"
What! What's happening?,,,
,,"Nothing, don't worry about it.",Something bad.
"I know something bad is happening! I'm not, I'm not...",,,
I'm not stupid just because I'm a kid!,,,
Why won't anyone tell me?,,,
,You don't want to know...,,
,,"Annabelle, what did your parents tell you?",Why aren't you at home Annabelle?
,"I saw it on the TV, while my parents were watching.",,
,They didn't know I was looking.,,
,And then they started opening all of their bottles and drinking.,,
,Some of their friends came over and they started hugging me and crying and told me to go play with Patty.,,
,But it doesn't matter. ,,
,Do you want to buy something or not.,,
,,Annabelle... Patty...,"I'm sorry, I wish I could... I'm sorry"
What? What's happening? Why is no one here?,,,
,I'll tell you later Patty. ,,
,Promise.,,
...,,,
Okay,,,
,,I actually do need some cake.,About the cake...
$45 please,,,
,Cash only.,,
,,I don't have that.,It's kind of important
Oh.,,,
,Why do you want the cake?,,
,,"Miranda and Angie are getting married. Down at the skate park in a little bit, actually. Can't have a wedding without cake.",A wedding. Angie and Miranda are getting married. We're meeting up at the skate park soon.
,What!,,
That's amazing!,,,
,Can we come!,,
,,"Of course, I'm sure Angie and Miranda would love to see you both there.","Um... yeah, why not."
"Wow, a real wedding.",,,
,"Don't worry Miss Fields, you can have all the cake you need.",,
Anna!,,,
,What?,,
We can't just give her the cake for free.,,,
What kind of business women would we be if we did that.,,,
,,I can give you [highest value item] and do a skate trick.,
Deal!,,,
,Deal!,,
