Miranda Song,Angie Dowd,Andy Fields,,
"What's up loser, why the downer vibe?",,,,
,,Um... because the world's ending.,"Uh, because of the bombs. You know, on TikTok.",
,"My mom's freaking out, do you think they're actually going to hit us?",,,
,,"I don't know Angie, that's what they're saying. Supposed to hit us in an hour, max.",I mean... they already took out New York apparently.,
"Pff, another shitty Wednesday as far as I'm concerned. Can't let it bring you down. ",,,,
,Miranda...,,,
,,My parents left me. They just took the car and fucking ran.,My parents are gone.  I don't... I don't know where they went. But the car's gone and the house is empty.,
,I'm... so sorry Andy,,,
Shit.,,,,
,,I don't know what to fucking do guys.,I've just been sitting on the curb staring at the sky.,
"Well, we need you to snap out of it A-Frame.",,,,
Angie and I are getting married.,,,,
Today!,,,,
,,What?,"Oh, um, congratulations I guess?","Ay, gay rights."
Thank you.,,,,
It's happening down at the skate park in an hour.,,,,
"Or, uh",,,,
a little less than an hour.,,,,
,We want you to be our officiant Andy!,,,
,,Okay.,I'm honored. Thank you.,
,,Is this legal?,Is this legit?,
"Oh my god, who cares A-Frame. ",,,,
THE WORLD IS ENDING!,,,,
,If we survive we'll make it real.,,,
,And if we don't...,,,
"Look I just want to skate, hang out with my favorite people, and marry the most amazing girl in the world.",,,,
,"Awww, babe!",,,
,,Gross.,Cute,
Shut up dude.,,,,
,Will you be there?,,,
,,I'll be there.,Absolutely.,
,Sick.,,,
You can't show up empty handed though.,,,,
It is our wedding after all.,,,,
"Just some basics you know. Booze, cake,",,,,
a ring,,,,
,,You don't have a wedding ring?,I don't know how basic a ring is.,
"Look, this is some last minute shit.",,,,
,I had a ring.,,,
Can you do that?,,,,
,,"Booze, cake, ring, plus anything else I find.",I mean... I'll do my best.,
,Thanks Andy.,,,
,I know it sounds like a lot but it's easier than it seems.,,,
It's the end of the world dude. There's free shit everywhere!,,,,
,What Miranda means is no one's feeling particularly...,,,
,Possessive right now.,,,
,At least the ones who are still around.,,,
I mean look at what Lex down at Cheap Chimp gave me.,,,,
,,... a broken Rolex?,... a Bart Ska-Mpson t-shirt?,... an iPad?
,I told her not to.,,,
I think it's sick.,,,,
,"Anyway, think you can do all that for us Andy?",,,
,,"100%, I won't let you don't.",I'll do my best.,Fuck it. What else am I supposed to do.
That's the spirit A-Frame.,,,,
When you're ready meet us down at the Skate Park.,,,,
,See you later Andy!,,,
