Imperator Johnny,Andy Fields,
Hello Plebe,,
,Uh... what?,Like plebeian?
SILENCE!,,
"As Imperator of the playground, I order you to be quiet.",,
,"Johnny, do your parents know your here?","Come on Johnny, let's get you home-"
"NO, NO, NO, NO, NO",,
I am Imperator Johnny,,
The playground is my empire,,
All who venture here must bow before me.,,
Or suffer the terrible consiquences,,
,Which are?,"Not consiquences, oh no."
*He throws a handful of wood chips at you*,,
,Ouch little dude.,"Umm, sure, okay."
Imperator Johnny demands payment for your insolence and disrespect,,
"What will you pay me, plebe",,
,I can give you [highest value item] and do a trick I guess.,
Hmmm...,,
The Imperator accepts.,,
Now show me this trick of yours.,,
