Miss Schiller,Andy Fields,
Hello Andy,,
,"Oh, Miss Schiller, what are you doing here?","Hi Miss Schiller, you didn't leave?"
I wouldn't be anywhere else. ,,
It looks like it's going to be a beautiful evening.,,
"A couple of clouds, but not too many.",,
The air is warm but not hot.,,
"And when the sun starts to hit the horizon, lavendar and orange everywhere. Right over the houses.",,
,I don't know if I've ever noticed.,I don't remember ever thinking this place was beautiful.
You're young,,
And you grew up here.,,
I remember when you were a baby,,
"What are you doing here, why aren't you trying to leave like everyone else?",,
,... I don't really want to talk about it Miss Schiller,My parents took the car and left. I don't know why they didn't...
"Oh Andy, I'm so, so sorry.",,
I'm sorry you're going through this.,,
I'm sorry you won't get more life,,
,"It's not fair. It's not fucking fair. What did I do, what did any of us do, to deserve to die.",Thanks.. it's okay... really
I wish...,,
I wish I had done something to make the world better back when I was young,,
So that none of this would happen,,
I thought I was doing the right things. Making the world brighter.,,
But to have ended up here...,,
I don't know...,,
,I want to escape. To skate and hit a ramp and fly off into the sky and never touch down.,"I want to smash down every house and building in this fucking useless, pointless, waste of wood and concrete "
I wish you could.,,
Life elludes us.,,
The roads are all blocked up. No ones getting out.,,
"I've had a good life, I don't want to spend my last minutes fighting the inevitable.",,
I want to spend it watching the sun one more time and having a glass of wine.,,
"You can join me, if you'd like, even though I don't believe you're quite 21 yet Andy.",,
,I wish I could.,"Actually, I have somewhere I need to be."
,There's going to be a wedding down at the skate park. Miranda and Angie.,Angie and Miranda are having an end of the world wedding down at the skate park.
That's beautiful.,,
I'm glad they have each other,,
And that you get to be there with them,,
,I'm sure you could come if you'd like.,"Join us, you're practically a grandmother to us anyway"
"Oh, that's so thoughtful and sweet.",,
But..,,
It would break my heart too much to say goodbye like that.,,
"I'll stay here, watch the little time left on my porch, drink my wine, and send my love with you.",,
,You could send more than your love. They asked me to find some booze.,Speaking of that wine Miss Schiller...
Hahaha,,
Grab as many bottles as you'd like,,
What do I need them for?,,
My one glass will be enough.,,
A gift for the young brides,,
Though...,,
,What?,"Oh no, you want something don't you."
Nothing big!,,
Just for old times' sake,,
I've watched you skateboard up and down these blocks your entire life. ,,
One last skate trick. ,,
To pair with the beautiful evening.,,
