Father Derricotte,Andy Fields,
"-Thy Kingdom come, thy will be done on Earth as it is in Heaven",,
,Give us this day our daily bread.,Sup Father Derricotte
"Oh! Andy, I didn't...",,
"... I didn't see, what are, what are you doing",,
Have you come for guidance in this time of great need and horror my child?,,
,Hell no.,Um... I'm going to go with no.
I though not.,,
...,,
"The lord, He moves in mysterious ways.",,
He is... ,,
He is... ,,
"Oh God Andy, I don't want to die.",,
,"Fuck, you're not supposed to be losing it.",Father...
Why have we been abandoned?,,
"I don't, I don't, I don't understand",,
"I've been praying for wisdomm, I've gone to the Bible and I don't-",,
Is it Revelations? ,,
Are these the end times?,,
Then where is Christ? Where is our Savior? Are we damned?,,
,Father Derricotte you have to snap out of this.,This is so not helping.
We are Damned. ,,
There is nothing else to it. We are Damned.,,
I am Damned.,,
,Well shit.,Cheery.
...,,
I'm no use to anyone now.,,
"Hah, I'm barely useful to myself.",,
,That's not quite true.,"Maybe so, but there is something on you that might be useful to me."
What? What do you mean?,,
,"I know you Priests aren't super chill with gay marriage and all that, but Miranda and Angie are having an end of the world wedding down at the skate park.","There's a wedding happening, and I'm officiating!"
,And I think it would be sick as hell if I was wearing your weird little Priest collar thing-y.,I was hoping you'd let me borrow your cute little collar. Make it feel official
...,,
What a... strange request to make here at this late hour.,,
Though who am I to refuse.,,
Perhaps a small donation to the church in exchange.,,
,How about [highest value item] and a real sick skate trick.,
Who am I to refuse any offering.,,
