Miranda Song,Angie Dowd,Andy Fields,
,,"The whole internet is like down right now, so I wasn't able to look up the proper words or whatnot, so just go with me.","I'm just kind of winging this off vibes and whatnot, so apologies if I fuck this up."
,Don't worry about it Andy.,,
"It's all good A-Frame, let's do this.",,,
,,"Okay, um...",Let's do it...
,,"We are, like, gathered here today at Colonel Mustard Skate Park",Y'all know why we're here at Mustard Skate Park
,,For the wedding of Miranda Song and Angie Dowd.,"Because Angie and Miranda saw that we were about to be nuked out of existence and said 'fuck it, let's get married'. "
,,"Um... I don't really know what's next, but I think you're both supposed to say something now.","Now... uh, they're going to talk and do their vows."
Thanks A-Frame,,,
"When I was in seventh grade, my parents moved me and my brother here from Seattle.",,,
I didn't want to go.,,,
"I remember, I thought duct tape was like the strongest thing in the world",,,
So I tried to duct tape myself to my bedroom wall in Seattle,,,
"Heh... it didn't work, obviously.",,,
"And when we got here I was like, fuck, this place sucks",,,
But then I met Angie.,,,
We'd meet up every Saturday and like come down here and practice our tricks.,,,
"And if any of the dudes gave us shit, Angie would go over and threaten to beat the shit out of them.",,,
"Which is crazy, because she's not even the butch one!",,,
"Angie, I've known I wanted to spend the rest of my life with you basically from the moment we became friends.",,,
"And... I guess we will, though, it's not really how I thought it was going to be",,,
...,,,
But I don't want to talk about that.,,,
"I love you, you're my favorite person in the world.",,,
And I'm ready to spend the rest of my life with you,,,
Whether that's just another 10 minutes or more... hopefully...,,,
"Okay, that's it, that's all I have to say",,,
,,Now Angie will say her vows.,"Okay Angie, your turn."
,Miranda...,,
,I love the look you give me when you know you've hit a sick trick.,,
,I love all the stick-and-poke tattoos on the inside of your thights.,,
,And the mole between your shoulder blades,,
,I even love your bad music taste that totally clashes with your skater aesthetic.,,
"Dude, Katy Perry's new stuff isn't bad",,,
,Sure...,,
,This is fucked up. It is.,,
,"I don't want to die, I don't want you to die",,
,And I wish...,,
,"I wish that this was a nightmare, or a joke, or something",,
,...,,
,But it's not,,
,...,,
,"But I love that even when confronted with the end of the world, the biggest biggest bummer, like, ever",,
,That this is what you came up with,,
,It's so beautiful,,
,You're so beautiful,,
,I'm ready to be with you for however long we have left,,
,...,,
...,,,
,,"Oh, it's me again","Thank you Angie, and Miranda, for saying all that great... stuff..."
,,"Do you, Miranda Song, take Angie Dowd to be your lawfully wedded wife. For rich or poor. Sick or, uh, healthy.","Miranda, do you want Angie to be your wife."
I do.,,,
,,"Angie Dowd, do you take Miranda Song to be your lawfully wedded wife. Rich, poor, sick, healthy","Angie, same deal, do you want to be Miranda's wife."
,I do.,,
,,By the power invested in me by... nobody. I now pronounce you wives,"Well then, you can now kiss the bride, I guess."
