Miranda Song,Angie Dowd,Andy Fields,
,,"I'm sorry guys,I don't have anything... my heart just wasn't in it.","No need to talk about who did, or didn't, get what. What's important is that we're all here now. Together."
,"It's okay Andy. You being here is what's most important, not the things.",,
"Aww, I was kinda hoping for some wine at least.",,,
And cake.,,,
I would KILL for some red velvet right about now.,,,
,Miranda!,,
,Let's not...,,
,We have each other. That's more than enough.,,
You're right.,,,
Let's get this wedding started!,,,
