Miranda Song,Angie Dowd,Andy Fields,
,,Look what I managed to get! (Show Ring),Yo. Check this one out. (Show Ring)
,Oh! It's perfect!,,
"A-Frame, you came through!",,,
,Where'd you get it from?,,
,,"Uhhh, Chet Baker","Mr. Baker, his wife fucking left him."
,...,,
...,,,
,"Well, a ring's a ring, I suppose.",,
,,Wait... who do I give it to again?,Here you go... Miranda?
Hand it over.,,,
"Wait... babe, should you even be looking at this? Isn't that bad luck or something?",,,
,I think it's fine,,
,,"She's right, Angie, cover your eyes.","I don't know how much luck matters anymore, Miranda."
,...,,
...,,,
,,Moving on...,"Anyway, let's focus."
